Image_Link,Brand_Name,tiles_Description,Info1,Price_Per_SqFt,Price_Per_Box,Category 
https://dpy2z8n9cxui1.cloudfront.net/V001240/breccia-gold-1200x600-mm-high-gloss-finish-advanced-gvt-tile-12-mm-nucera-tiles-tiles/breccia-gold-1200x600-mm-high-gloss-finish-advanced-gvt-tile-12-mm/1.png?width=240,Nucera Tiles,Breccia Gold 1200x600 mm High Gloss Finish Advanced GVT Tile - 12 mm,Vitrified1200x600 mm,61,938,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000728/bella-200x200-mm-metallic-finish-subway-tile-10-mm-subway-tiles/bella-200x200-mm-metallic-finish-subway-tile-10-mm/1.jpeg?width=240,Subway Tiles,Bella 200x200 mm Metallic Finish Subway Tile -10 mm,Ceramic200x200 mm,87,1725,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000606/dust-verde-400x400-mm-matte-finish-heavy-duty-vitrified-tile-12-mm-allen-cera-tiles/dust-verde-400x400-mm-matte-finish-heavy-duty-vitrified-tile-12-mm/1.png?width=240,Allen Cera,Dust Verde 400x400 mm Matte Finish Heavy Duty Vitrified Tile - 12 mm,Vitrified400x400 mm,75,638,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000868/capsule-ivory-300x300-mm-matte-finish-digital-tile-6-mm-gt-tiles/capsule-ivory-300x300-mm-matte-finish-digital-tile-6-mm/1.png?width=240,GT Tiles,Capsule ivory 300x300 mm Matte Finish Digital Regular Vitrified Tile - 8 mm,Vitrified300x300 mm,49,378,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000868/apple-sizzle-series-stone-terracotta-300x300-mm-ceramic-tile-ceramart-tiles/apple-sizzle-series-stone-terracotta-300x300-mm-ceramic-tile/1.jpg?width=240,Sizzle Ceramic,Sizzle Ceramic Stone Terracotta 300x300 mm Normal Parking Ceramic Tile - 8 mm,Ceramic300x300 mm,51,392,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000440/burburry-grey-1200x600-mm-glossy-finish-gvt-tile-10-mm/burburry-grey-1200x600-mm-glossy-finish-gvt-tile-10-mm/1.png?width=240,Sonex Tiles,Burburry Grey 1200x600 mm Glossy Finish GVT Tile - 9.5 mm,Vitrified1200x600 mm,62,952,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001281/5440-glossy-series/5440-hl-3-a-glossy-series/1.png?width=240,Rextron Ceramic,5440 HL-3-A 450x300 mm Glossy Finish Glossy Series Ceramic Tile 6 mm,Ceramic450x300 mm,41,351,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V001207/5191-r-3-1200x600-mm-glossy-finish-gvt-tile-9-mm-fusion-granito-tiles/5191-r-3-1200x600-mm-glossy-finish-gvt-tile-9-mm/1.jpg?width=240,Fusion Granito,5191 R-3 1200x600 mm Glossy Finish GVT Floor and Wall Tile - 9 mm,Vitrified1200x600 mm,65,1001,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000728/glam-coffee-base-200x200-mm-matte-finish-subway-tile-tiles/glam-coffee-base-200x200-mm-matte-finish-subway-tile/1.jpg?width=240,Subway Tiles,Glam Coffee Base 200x200 mm Matte Finish Ceramic Wall Subway Tile,Ceramic200x200 mm,87,1725,Tiles
https://dpy2z8n9cxui1.cloudfront.net/V000080/pinecity-brown-1200x200-grestek-matte-finish-gvt-tile-10-5-mm-asian-granito-tiles/pinecity-brown-1200x200-grestek-matte-finish-gvt-tile-10-5-mm/1.jpg?width=240,Asian Granito,Pinecity Brown 1200x200 mm Grestek Matte Finish GVT Tile - 10.5 mm,Vitrified1200x200 mm,103,1590,Tiles
